2001	1	5.18356164383562	4	5.71428571428571	6.57142857142857	34	34	29
2002	0	5.17534246575342	6.71428571428571	7.85714285714286	6.14285714285714	24	27	24
2003	0	6.49041095890411	5.57142857142857	4.85714285714286	4.71428571428571	27	28	28
2004	1	4.28493150684931	4.28571428571429	5	6.71428571428571	33	33	30
2005	1	3.37534246575342	4.14285714285714	7.71428571428571	7.28571428571429	44	46	40
2006	1	5.23561643835616	4.85714285714286	5.28571428571429	5.28571428571429	25	31	31
2010	1	6.06027397260274	5.42857142857143	7.14285714285714	7.14285714285714	28	28	27
2011	0	6.71232876712329	4.57142857142857	5	4.85714285714286	35	27	28
2014	0	5.17534246575342	4.85714285714286	4.28571428571429	5.42857142857143	23	49	40
2015	1	3.41095890410959	5.28571428571429	5.14285714285714	6	22	19	18
2021	1	4.64931506849315	5.42857142857143	5.28571428571429	5.71428571428571	35	42	32
2022	1	5.12876712328767	3.85714285714286	5.42857142857143	4.57142857142857	31	34	32
2023	0	4.35890410958904	4.14285714285714	5	5.57142857142857	37	40	37
2025	1	5.96438356164384	4.85714285714286	5	6.71428571428571	30	35	37
2027	0	6.31232876712329	6.28571428571429	5.71428571428571	5.71428571428571	27	26	32
2036	1	4.61369863013699	5.42857142857143	4.42857142857143	6.85714285714286	23	24	30
2038	0	4.13972602739726	5.28571428571429	5.85714285714286	6.71428571428571	30	32	29
2050	0	3.03013698630137	6.71428571428571	6.28571428571429	5	31	24	27
2051	1	6.44383561643836	6.85714285714286	7.42857142857143	6.42857142857143	23	26	24
2055	0	4.66849315068493	5.57142857142857	6.57142857142857	5.28571428571429	32	26	24
2066	1	4.59178082191781	3.42857142857143	4.14285714285714	4.57142857142857	23	22	21
2068	0	5.78630136986301	3.14285714285714	1.85714285714286	4.42857142857143	41	27	32
2071	0	4.71506849315069	6.14285714285714	7.71428571428571	5.57142857142857	33	29	30
2074	0	4.84383561643836	5.14285714285714	5.71428571428571	6	26	22	22
2080	1	4.36438356164384	4.42857142857143	6.71428571428571	4.85714285714286	26	30	27
2089	1	4.7013698630137	4.57142857142857	3.57142857142857	3.42857142857143	32	39	38
2091	0	3.88219178082192	6.14285714285714	5.71428571428571	5.85714285714286	30	26	23
2094	0	3.43561643835616	3.42857142857143	5	4	34	37	40
2095	0	6.34794520547945	3.14285714285714	5.71428571428571	4.57142857142857	18	20	21
2096	1	5.78904109589041	6.28571428571429	7	7	27	26	21
2097	0	6.28767123287671	6	5	5.28571428571429	29	33	34
2098	0	6.64931506849315	6.28571428571429	4.57142857142857	4.28571428571429	45	42	36
2099	0	7.08219178082192	5.14285714285714	5.14285714285714	4.71428571428571	38	47	37
2102	0	5.10684931506849	4.42857142857143	4	4.71428571428571	31	20	17
2103	0	6.32054794520548	6.85714285714286	6	6.14285714285714	25	15	22
2106	1	3.74794520547945	2.57142857142857	4.57142857142857	4.71428571428571	26	31	32
2107	0	3.24657534246575	3.57142857142857	2.42857142857143	3.85714285714286	33	35	32
2113	0	3.55616438356164	4	5.28571428571429	5.85714285714286	38	33	32
2114	0	3.25205479452055	3.57142857142857	4	4.71428571428571	44	43	41
